ADM2_EN,ADM1_EN,Control Under
Arghanj Khwah,Badakhshan,Contested
Argo,Badakhshan,Contested
Baharak,Badakhshan,Contested
Darayem,Badakhshan,Contested
Dawraz-e-Bala,Badakhshan,Contested
Dawraz-e-Payin,Badakhshan,Government
Eshkashem,Badakhshan,Contested
Fayzabad,Badakhshan,Government
Jorm,Badakhshan,Contested
Keshem,Badakhshan,Contested
Khash,Badakhshan,Contested
Khwahan,Badakhshan,Government
Kofab,Badakhshan,Government
Kohistan,Badakhshan,Contested
Koran Wa Monjan,Badakhshan,Contested
Raghestan,Badakhshan,Contested
Shahr-e-Buzorg,Badakhshan,Government
Shaki,Badakhshan,Contested
Shighnan,Badakhshan,Contested
Shuhada,Badakhshan,Contested
Tagab,Badakhshan,Contested
Teshkan,Badakhshan,Contested
Wakhan,Badakhshan,Government
Warduj,Badakhshan,Taliban-Controlled
Yaftal-e-Sufla,Badakhshan,Government
Yamgan,Badakhshan,Taliban-Controlled
Yawan,Badakhshan,Government
Zebak,Badakhshan,Contested
Ab Kamari,Badghis,Contested
Bala Murghab,Badghis,Contested
Ghormach,Badghis,Taliban-Controlled
Jawand,Badghis,Contested
Muqur,Badghis,Taliban-Controlled
Qadis,Badghis,Contested
Qala-e-Naw,Badghis,Government
Andarab,Baghlan,Contested
Baghlan-e-Jadid,Baghlan,Contested
Burka,Baghlan,Contested
Dahana-e-Ghori,Baghlan,Taliban-Controlled
Deh Salah,Baghlan,Contested
Doshi,Baghlan,Contested
Fereng Wa Gharu,Baghlan,Contested
Guzargah-e-Nur,Baghlan,Taliban-Controlled
Khinjan,Baghlan,Contested
Khost Wa Fereng,Baghlan,Contested
Khwaja Hejran,Baghlan,Contested
Nahrin,Baghlan,Contested
Pul-e-Hisar,Baghlan,Contested
Pul-e-Khumri,Baghlan,Contested
Tala Wa Barfak,Baghlan,Contested
Balkh,Balkh,Government
Char Bolak,Balkh,Contested
Charkent,Balkh,Government
Chemtal,Balkh,Contested
Dawlat Abad,Balkh,Taliban-Controlled
Dehdadi,Balkh,Government
Kaldar,Balkh,Government
Keshendeh,Balkh,Government
Khulm,Balkh,Government
Marmul,Balkh,Government
Mazar-e-Sharif,Balkh,Government
Nahr-e-Shahi,Balkh,Government
Sharak-e-Hayratan,Balkh,Government
Sholgareh,Balkh,Government
Shortepa,Balkh,Government
Zari,Balkh,Government
Bamyan,Bamyan,Government
Kahmard,Bamyan,Government
Panjab,Bamyan,Government
Sayghan,Bamyan,Government
Shibar,Bamyan,Government
Waras,Bamyan,Government
Yakawlang,Bamyan,Government
Ashtarlay,Daykundi,Government
Gizab,Daykundi,Contested
Kajran,Daykundi,Government
Khadir,Daykundi,Government
Kiti,Daykundi,Government
Miramor,Daykundi,Government
Nili,Daykundi,Government
Sang-e-Takht,Daykundi,Government
Shahrestan,Daykundi,Government
Anar Dara,Farah,Contested
Bakwa,Farah,Contested
Bala Buluk,Farah,Taliban-Controlled
Farah,Farah,Contested
Gulistan,Farah,Taliban-Controlled
Khak-e-Safed,Farah,Taliban-Controlled
Lash-e-Juwayn,Farah,Government
Pur Chaman,Farah,Contested
Pushtrod,Farah,Contested
Qala-e-Kah,Farah,Contested
Shibkoh,Farah,Contested
Almar,Faryab,Contested
Andkhoy,Faryab,Government
Bilcheragh,Faryab,Taliban-Controlled
Dawlat Abad,Faryab,Contested
Garzewan,Faryab,Contested
Khan-e-Char Bagh,Faryab,Government
Khwaja Sabz Posh,Faryab,Contested
Kohistan,Faryab,Taliban-Controlled
Maymana,Faryab,Contested
Pashtun Kot,Faryab,Taliban-Controlled
Qaram Qul,Faryab,Government
Qaysar,Faryab,Contested
Qurghan,Faryab,Government
Shirin Tagab,Faryab,Contested
Ab Band,Ghazni,Contested
Ajristan,Ghazni,Taliban-Controlled
Andar,Ghazni,Taliban-Controlled
Deh Yak,Ghazni,Taliban-Controlled
Gelan,Ghazni,Contested
Ghazni,Ghazni,Contested
Giro,Ghazni,Taliban-Controlled
Jaghatu,Ghazni,Taliban-Controlled
Jaghuri,Ghazni,Contested
Khwaja Umari,Ghazni,Taliban-Controlled
Malistan,Ghazni,Contested
Muqur,Ghazni,Government
Nawa,Ghazni,Taliban-Controlled
Nawur,Ghazni,Taliban-Controlled
Qara Bagh,Ghazni,Contested
Rashidan,Ghazni,Taliban-Controlled
Waghaz,Ghazni,Taliban-Controlled
Wal-e-Muhammad-e-Shahid,Ghazni,Government
Zanakhan,Ghazni,Taliban-Controlled
Charsadra,Ghor,Contested
Dawlatyar,Ghor,Contested
DoLayna,Ghor,Government
Feroz Koh,Ghor,Government
Lal Wa Sarjangal,Ghor,Government
Pasaband,Ghor,Contested
Saghar,Ghor,Government
Shahrak,Ghor,Government
Taywarah,Ghor,Contested
Tolak,Ghor,Contested
Baghran,Hilmand,Taliban-Controlled
Deh-e-Shu,Hilmand,Taliban-Controlled
Garmser,Hilmand,Contested
Kajaki,Hilmand,Taliban-Controlled
Lashkargah,Hilmand,Contested
Musa Qala,Hilmand,Taliban-Controlled
Nad-e-Ali,Hilmand,Contested
Nahr-e-Saraj,Hilmand,Contested
Nawa-e-Barakzaiy,Hilmand,Contested
Nawzad,Hilmand,Taliban-Controlled
Reg-i-Khan Nishin,Hilmand,Taliban-Controlled
Sangin,Hilmand,Government
Washer,Hilmand,Government
Adraskan,Hirat,Contested
Chisht-e-Sharif,Hirat,Government
Farsi,Hirat,Government
Ghoryan,Hirat,Contested
Gulran,Hirat,Contested
Guzara,Hirat,Government
Hirat,Hirat,Government
Injil,Hirat,Government
Karukh,Hirat,Government
Kohsan,Hirat,Government
Kushk,Hirat,Contested
Kushk-e-Kuhna,Hirat,Contested
Obe,Hirat,Contested
Pashtun Zarghun,Hirat,Government
Shindand,Hirat,Contested
Zindajan,Hirat,Government
Aqcha,Jawzjan,Contested
Darzab,Jawzjan,Contested
Fayzabad,Jawzjan,Contested
Khamyab,Jawzjan,Taliban-Controlled
Khanaqa,Jawzjan,Contested
Khwaja Dukoh,Jawzjan,Contested
Mardyan,Jawzjan,Government
Mingajik,Jawzjan,Government
Qarqin,Jawzjan,Government
Qush Tepa,Jawzjan,Contested
Shiberghan,Jawzjan,Government
Bagrami,Kabul,Government
Chahar Asyab,Kabul,Government
Deh Sabz,Kabul,Government
Estalef,Kabul,Government
Farza,Kabul,Government
Guldara,Kabul,Government
Kabul,Kabul,Government
Kalakan,Kabul,Government
Khak-e-Jabbar,Kabul,Government
Mir Bacha Kot,Kabul,Government
Musahi,Kabul,Government
Paghman,Kabul,Government
Qara Bagh,Kabul,Government
Shakar Dara,Kabul,Government
Surobi,Kabul,Government
Arghandab,Kandahar,Government
Arghestan,Kandahar,Contested
Daman,Kandahar,Government
Ghorak,Kandahar,Contested
Kandahar,Kandahar,Contested
Khakrez,Kandahar,Contested
Maruf,Kandahar,Taliban-Controlled
Maywand,Kandahar,Contested
Miyanshin,Kandahar,Taliban-Controlled
Nesh,Kandahar,Contested
Panjwayi,Kandahar,Government
Reg,Kandahar,Contested
Shah Wali Kot,Kandahar,Contested
Shorabak,Kandahar,Contested
Spin Boldak,Kandahar,Government
Zheray,Kandahar,Government
Alasay,Kapisa,Contested
Hisa-e-Awal-e-Kohistan,Kapisa,Government
Hisa-e-Duwum-e-Kohistan,Kapisa,Government
Koh Band,Kapisa,Government
Mahmood-e-Raqi,Kapisa,Government
Nijrab,Kapisa,Contested
Tagab,Kapisa,Contested
Bak,Khost,Contested
Gurbuz,Khost,Contested
Jaji Maydan,Khost,Contested
Mandozayi,Khost,Government
Matun,Khost,Government
Musa Khel,Khost,Contested
Nadir Shah Kot,Khost,Contested
Qalandar,Khost,Contested
Sabari,Khost,Contested
Shamal,Khost,Contested
Spera,Khost,Contested
Tani,Khost,Government
Terezayi,Khost,Contested
Asad Abad,Kunar,Government
Bar Kunar,Kunar,Contested
Chapa Dara,Kunar,Taliban-Controlled
Chawkay,Kunar,Contested
Dangam,Kunar,Contested
Dara-e-Pech,Kunar,Contested
Ghazi Abad,Kunar,Contested
Khas Kunar,Kunar,Contested
Marawara,Kunar,Contested
Narang,Kunar,Contested
Nari,Kunar,Contested
Nurgal,Kunar,Contested
Sar Kani,Kunar,Contested
Shigal,Kunar,Government
Watapur,Kunar,Contested
Ali Abad,Kunduz,Contested
Chahar Darah,Kunduz,Contested
Dasht-e-Archi,Kunduz,Contested
Imam Sahib,Kunduz,Contested
Khan Abad,Kunduz,Contested
Kunduz,Kunduz,Contested
Qala-e-Zal,Kunduz,Taliban-Controlled
Alingar,Laghman,Contested
Alishang,Laghman,Contested
Dawlatshah,Laghman,Contested
Mehtarlam,Laghman,Government
Qarghayi,Laghman,Government
Azra,Logar,Taliban-Controlled
Baraki Barak,Logar,Contested
Charkh,Logar,Taliban-Controlled
Kharwar,Logar,Taliban-Controlled
Khoshi,Logar,Government
Mohammad Agha,Logar,Contested
Pul-e-Alam,Logar,Contested
Chak-e-Wardak,Maidan Wardak,Contested
Daymirdad,Maidan Wardak,Contested
Hesa-e-Awal-e-Behsud,Maidan Wardak,Government
Jaghatu,Maidan Wardak,Contested
Jalrez,Maidan Wardak,Contested
Markaz-e-Behsud,Maidan Wardak,Government
Maydan Shahr,Maidan Wardak,Contested
Nerkh,Maidan Wardak,Contested
Saydabad,Maidan Wardak,Taliban-Controlled
Achin,Nangarhar,Contested
Bati Kot,Nangarhar,Contested
Behsud,Nangarhar,Government
Chaparhar,Nangarhar,Contested
Dara-e-Nur,Nangarhar,Contested
Deh Bala,Nangarhar,Contested
Dur Baba,Nangarhar,Government
Goshta,Nangarhar,Contested
Hesarak,Nangarhar,Contested
Jalalabad,Nangarhar,Contested
Kama,Nangarhar,Contested
Khogyani,Nangarhar,Contested
Kot,Nangarhar,Government
Kuz Kunar,Nangarhar,Government
Lalpur,Nangarhar,Contested
Muhmand Dara,Nangarhar,Government
Nazyan,Nangarhar,Contested
Pachir Wa Agam,Nangarhar,Contested
Rodat,Nangarhar,Contested
Sherzad,Nangarhar,Contested
Shinwar,Nangarhar,Government
Surkh Rod,Nangarhar,Government
Chakhansur,Nimroz,Contested
Char Burjak,Nimroz,Contested
Kang,Nimroz,Contested
Khashrod,Nimroz,Contested
Zaranj,Nimroz,Government
Barg-e-Matal,Nuristan,Government
Duab,Nuristan,Contested
Kamdesh,Nuristan,Taliban-Controlled
Mandol,Nuristan,Contested
Nurgaram,Nuristan,Government
Parun,Nuristan,Government
Wama,Nuristan,Contested
Waygal,Nuristan,Contested
Barmal,Paktika,Contested
Dila,Paktika,Taliban-Controlled
Giyan,Paktika,Taliban-Controlled
Gomal,Paktika,Contested
Jani Khel,Paktika,Contested
Mata Khan,Paktika,Contested
Nika,Paktika,Contested
Omna,Paktika,Taliban-Controlled
Sar Rawzah,Paktika,Government
Sharan,Paktika,Government
Surobi,Paktika,Government
Turwo,Paktika,Contested
Urgun,Paktika,Contested
Wazakhah,Paktika,Taliban-Controlled
Wormamay,Paktika,Contested
Yahya Khel,Paktika,Contested
Yosuf Khel,Paktika,Contested
Zarghun Shahr,Paktika,Government
Ziruk,Paktika,Contested
Ahmadaba,Paktya,Contested
Chamkani,Paktya,Government
Dand Wa Patan,Paktya,Contested
Gardez,Paktya,Government
Jaji,Paktya,Contested
Jani Khel,Paktya,Contested
Lija Ahmad Khel,Paktya,Contested
Sayed Karam,Paktya,Contested
Shawak,Paktya,Government
Zadran,Paktya,Government
Zurmat,Paktya,Taliban-Controlled
Anawa,Panjsher,Contested
Bazarak,Panjsher,Contested
Dara,Panjsher,Contested
Khenj,Panjsher,Contested
Paryan,Panjsher,Contested
Rukha,Panjsher,Contested
Shutul,Panjsher,Contested
Bagram,Parwan,Government
Charikar,Parwan,Government
Ghorband,Parwan,Contested
Jabal Saraj,Parwan,Government
Koh-e-Safi,Parwan,Contested
Salang,Parwan,Government
Sayed Khel,Parwan,Contested
Shekh Ali,Parwan,Government
Shinwari,Parwan,Contested
Surkh-e-Parsa,Parwan,Contested
Aybak,Samangan,Government
Dara-e-Suf-e-Bala,Samangan,Government
Dara-e-Suf-e-Payin,Samangan,Contested
Feroz Nakhchir,Samangan,Government
Hazrat-e-Sultan,Samangan,Government
Khuram Wa Sarbagh,Samangan,Government
Ruy-e-Duab,Samangan,Government
Balkhab,Sar-e-Pul,Government
Gosfandi,Sar-e-Pul,Contested
Kohestanat,Sar-e-Pul,Taliban-Controlled
Sancharak,Sar-e-Pul,Contested
Sar-e-Pul,Sar-e-Pul,Contested
Sayad,Sar-e-Pul,Contested
Sozmaqala,Sar-e-Pul,Contested
Baharak,Takhar,Contested
Bangi,Takhar,Contested
Chahab,Takhar,Contested
Chal,Takhar,Government
Darqad,Takhar,Contested
Dasht-e-Qala,Takhar,Contested
Eshkmesh,Takhar,Contested
Farkhar,Takhar,Government
Hazar Sumuch,Takhar,Government
Kalafgan,Takhar,Government
Khwaja Bahawuddin,Takhar,Contested
Khwaja Ghar,Takhar,Contested
Namak Ab,Takhar,Government
Rostaq,Takhar,Government
Taloqan,Takhar,Government
Warsaj,Takhar,Government
Yangi Qala,Takhar,Contested
Chora,Uruzgan,Taliban-Controlled
Dehrawud,Uruzgan,Contested
Khas Uruzgan,Uruzgan,Contested
Shahid-e-Hassas,Uruzgan,Contested
Tirinkot,Uruzgan,Contested
Arghandab,Zabul,Taliban-Controlled
Atghar,Zabul,Contested
Daychopan,Zabul,Contested
Kakar,Zabul,Taliban-Controlled
Mizan,Zabul,Contested
Nawbahar,Zabul,Contested
Qalat,Zabul,Government
Shah Joi,Zabul,Contested
Shamul Zayi,Zabul,Contested
Shinkay,Zabul,Contested
Tarnak Wa Jaldak,Zabul,Contested